p_recall,delta_days,history_seen,history_correct,session_seen,session_correct,hour_of_day,learning_language,lexeme_string
1.0,304.69425925925924,4,4,5,5,15,fr,pomme/pomme<n><f><sg>
1.0,0.0043287037037037035,3,2,1,1,21,it,vino/vino<n><m><sg>
0.0,0.4813310185185185,12,12,1,0,1,es,blancos/blanco<adj><m><pl>
0.0,0.002372685185185185,6,5,1,0,19,de,links/links<adv>
1.0,0.0035300925925925925,10,8,1,1,12,it,leggono/leggere<vblex><pri><p3><pl>
1.0,0.013136574074074075,12,10,1,1,14,fr,thé/thé<n><m><sg>
1.0,23.9921875,9,9,1,1,9,es,tocar/tocar<vblex><inf>
1.0,51.955497685185186,4,3,1,1,13,en,wine/wine<n><sg>
0.0,0.0349537037037037,13,11,1,0,17,de,eine/ein<det><ind><f><sg><nom>
1.0,0.015625,10,9,3,3,22,it,sono/essere<vbser><pri><p1><sg>
1.0,0.008032407407407408,4,4,4,4,2,es,nuestros/nuestro<det><pos><m><pl>
1.0,4.833009259259259,5,5,6,6,15,en,when/when<cnjadv>
1.0,3.9924074074074074,2,1,1,1,17,fr,<*sf>/venir<vblex><pii><*pers><*numb>
1.0,0.007453703703703704,33,29,1,1,17,en,me/prpers<prn><obj><p1><mf><sg>
1.0,6.687060185185185,6,6,1,1,6,es,ustedes/prpers<prn><tn><p3><mf><pl>
1.0,0.006944444444444444,5,5,1,1,3,es,alto/alto<adj><m><sg>
1.0,2.0397800925925926,5,5,3,3,11,de,zeitung/zeitung<n><f><sg><acc>
1.0,0.005752314814814815,4,4,1,1,19,en,oil/oil<n><sg>
0.0,0.0006944444444444445,106,91,1,0,16,es,vino/vino<n><m><sg>
1.0,0.034131944444444444,3,3,3,3,21,en,white/white<adj><sint>
1.0,0.003587962962962963,15,13,2,2,12,es,con/con<pr>
1.0,29.259386574074075,3,3,1,1,18,es,ella/prpers<prn><tn><p3><f><sg>
1.0,0.9776273148148148,3,3,2,2,19,en,<*sf>/day<n><*numb>
1.0,0.022002314814814815,3,3,1,1,14,en,woman/woman<n><sg>
1.0,0.0069560185185185185,4,4,2,2,12,es,abuela/abuelo<n><f><sg>
1.0,0.004548611111111111,3,3,4,4,7,de,lerne/lernen<vblex><pri><p1><sg>
1.0,2.6805671296296296,6,6,4,4,12,en,dinner/dinner<n><sg>
1.0,0.0018981481481481482,9,8,1,1,5,es,comen/comer<vblex><pri><p3><pl>
1.0,0.9323842592592593,22,21,4,4,2,de,lernt/lernen<vblex><pri><p3><sg>
0.0,0.0016550925925925926,5,4,1,0,18,fr,es/être<vbser><pri><p2><sg>
0.666666666667,5.844282407407407,5,5,3,2,14,es,estábamos/estar<vblex><pii><p1><pl>
1.0,0.0044907407407407405,5,5,2,2,7,en,her/prpers<prn><obj><p3><f><sg>
1.0,18.020300925925927,2,2,2,2,2,es,larga/largo<adj><f><sg>
1.0,0.7498148148148148,4,4,1,1,17,en,salt/salt<n><sg>
1.0,5.035983796296296,5,3,2,2,17,en,turtle/turtle<n><sg>
0.0,0.0018055555555555555,12,10,1,0,22,de,das/das<rel><nt><sg><nom>
1.0,4.54912037037037,6,5,1,1,11,es,perro/perro<n><m><sg>
1.0,2.211701388888889,6,5,2,2,0,fr,grandes/grand<adj><f><pl>
1.0,16.605208333333334,3,2,2,2,15,fr,pardon/pardon<n><m><sg>
1.0,211.14466435185184,5,5,1,1,0,en,water/water<n><sg>
1.0,0.1716550925925926,3,3,2,2,2,es,días/día<@ij:buenos_dias>
1.0,1.9520717592592594,4,3,2,2,8,de,arbeitgeber/arbeitgeber<n><m><sg><nom>
1.0,0.2427199074074074,6,6,1,1,21,es,quiero/querer<vblex><pri><p1><sg>
1.0,0.025358796296296296,3,3,3,3,23,de,ja/ja<adv>
1.0,0.005046296296296296,42,39,2,2,11,es,hombre/hombre<n><m><sg>
1.0,0.0016898148148148148,9,9,2,2,1,en,cat/cat<n><sg>
1.0,0.0024652777777777776,1,1,1,1,18,de,getränke/getränk<n><nt><pl><*case>
0.5,34.39143518518519,2,2,2,1,1,it,lo/il<det><def><m><sg>
1.0,0.002800925925925926,46,45,2,2,2,en,girl/girl<n><sg>
1.0,3.830474537037037,1,1,1,1,23,fr,<*sf>/commander<vblex><pri><*pers><*numb>
1.0,0.003148148148148148,15,14,1,1,1,en,<*sf>/company<n><*numb>
1.0,1.0998263888888888,3,2,1,1,20,en,sandwich/sandwich<n><sg>
1.0,0.9246412037037037,2,2,3,3,12,es,verano/verano<n><m><sg>
1.0,61.13003472222222,2,1,1,1,20,es,abrigo/abrigo<n><m><sg>
1.0,4.671516203703704,3,3,2,2,1,es,abrigo/abrigo<n><m><sg>
1.0,0.014594907407407407,3,3,1,1,5,de,katzen/katze<n><f><pl><nom>
0.0,0.027731481481481482,1,1,1,0,21,es,oído/oído<n><m><sg>
1.0,0.0036574074074074074,1,1,1,1,23,en,<*sf>/skirt<n><*numb>
0.0,0.9554282407407407,63,60,1,0,13,en,have/have<vblex><inf>
1.0,0.03491898148148148,52,47,1,1,21,en,to/to<pr>
1.0,1.1916666666666667,12,12,1,1,7,en,she/prpers<prn><subj><p3><f><sg>
1.0,0.8957060185185185,222,206,1,1,15,es,vas/ir<vblex><pri><p2><sg><@future_phrasal>
1.0,2.74869212962963,5,5,1,1,12,en,it/prpers<prn><subj><p3><nt><sg>
1.0,1.171574074074074,67,61,1,1,19,es,nos/prpers<prn><pro><p1><mf><pl>
0.833333333333,2.670335648148148,5,5,6,5,0,fr,mange/manger<vblex><pri><p1><sg>
0.0,0.0008333333333333334,5,4,1,0,15,en,man/man<n><sg>
0.333333333333,0.0037847222222222223,9,7,3,1,13,es,son/ser<vbser><pri><p3><pl>
1.0,0.00798611111111111,73,62,1,1,22,en,are/be<vbser><pres>
1.0,0.005659722222222222,11,9,1,1,14,en,bread/bread<n><sg>
1.0,3.0359143518518517,3,3,1,1,5,es,tocamos/tocar<vblex><pri><p1><pl>
1.0,0.0028819444444444444,2,2,1,1,5,fr,pâtes/pâte<n><f><pl>
1.0,0.0035069444444444445,8,8,2,2,17,en,eat/eat<vblex><pres>
0.0,0.008981481481481481,3,3,2,0,22,fr,elle/il<prn><tn><p3><f><sg>
1.0,0.0022685185185185187,8,6,1,1,3,it,bottiglie/bottiglia<n><f><pl>
0.5,1.0920833333333333,4,1,2,1,11,de,freund/freund<n><m><sg><acc>
1.0,1.893136574074074,5,5,4,4,18,en,in/in<pr>
1.0,0.0017592592592592592,9,4,1,1,2,es,mis/mío<det><pos><mf><pl>
1.0,1.0514699074074074,4,4,2,2,23,fr,garçon/garçon<n><m><sg>
1.0,0.005115740740740741,11,9,1,1,17,en,meat/meat<n><sg>
0.6,7.431331018518518,14,13,10,6,2,en,a/a<det><ind><sg>
1.0,1.256712962962963,10,10,1,1,3,en,remember/remember<vblex><pres>
0.0,0.004178240740740741,4,4,1,0,14,en,read/read<vblex><pres>
1.0,0.006805555555555555,55,52,2,2,19,fr,vin/vin<n><m><sg>
1.0,0.0024189814814814816,18,18,1,1,4,en,beer/beer<n><sg>
1.0,0.009710648148148149,2,2,1,1,15,es,pasta/pasta<n><f><sg>
1.0,0.7033912037037037,6,5,1,1,17,es,no/no<adv>
1.0,0.003935185185185185,9,9,1,1,1,de,du/du<prn><p2><mf><sg><nom>
1.0,35.2166087962963,37,35,1,1,1,en,is/be<vbser><pri><p3><sg>
0.5,0.018310185185185186,11,7,2,1,10,en,a/a<det><ind><sg>
0.5,5.067395833333333,3,3,2,1,14,pt,queijo/queijo<n><m><sg>
1.0,1.9610300925925925,2,2,6,6,10,fr,pomme/pomme<n><f><sg>
0.5,0.06229166666666667,20,20,2,1,18,fr,pain/pain<n><m><sg>
1.0,72.05473379629629,12,10,1,1,2,en,skirt/skirt<n><sg>
1.0,0.2203587962962963,16,15,1,1,15,fr,la/le<det><def><f><sg>
1.0,8.002199074074074,5,5,1,1,3,fr,grandes/grand<adj><f><pl>
1.0,0.0018171296296296297,17,17,1,1,22,es,como/comer<vblex><pri><p1><sg>
0.5,0.0020486111111111113,5,3,2,1,21,de,es/es<prn><p3><nt><sg><nom>
1.0,125.0207986111111,31,28,1,1,2,en,once/once<adv>
1.0,0.09709490740740741,89,80,1,1,16,en,are/be<vbser><pres>
1.0,0.017222222222222222,6,6,1,1,21,es,tienen/tener<vblex><pri><p3><pl>
1.0,0.015532407407407408,2,1,1,1,17,es,jugo/jugo<n><m><sg>
1.0,0.0017939814814814815,191,183,2,2,18,es,me/prpers<prn><pro><p1><mf><sg>
1.0,0.0028356481481481483,7,6,3,3,13,de,freund/freund<n><m><sg><acc>
1.0,0.0030787037037037037,5,4,3,3,23,it,buonanotte/buonanotte<ij>
1.0,0.4328240740740741,1277,1176,2,2,10,es,no/no<adv>
1.0,0.784699074074074,4,4,1,1,22,en,tail/tail<n><sg>
1.0,3.9952662037037037,3,1,4,4,4,it,bevono/bere<vblex><pri><p3><pl>
1.0,0.057569444444444444,6,6,1,1,9,en,november/november<n><sg>
1.0,0.0035300925925925925,36,36,3,3,21,en,eat/eat<vblex><pres>
1.0,3.0315162037037036,2,2,2,2,16,es,triunfo/triunfar<vblex><pri><p1><sg>
1.0,2.812939814814815,5,4,1,1,15,de,großeltern/großeltern<n><nt><pl><dat>
1.0,0.002800925925925926,11,9,1,1,4,en,hats/hat<n><pl>
0.0,0.14107638888888888,6,6,1,0,21,de,häuser/haus<n><nt><pl><acc>
1.0,0.017708333333333333,3,2,3,3,13,fr,mange/manger<vblex><pri><p1><sg>
1.0,0.00986111111111111,13,13,1,1,15,en,whose/whose<prn><itg><mf><sp>
1.0,0.00800925925925926,14,14,1,1,19,de,kind/kind<n><nt><sg><nom>
1.0,0.0033912037037037036,6,6,2,2,7,es,pescados/pescado<n><m><pl>
1.0,63.11626157407407,1,1,1,1,19,fr,mangent/manger<vblex><pri><p3><pl>
1.0,4.52974537037037,5,4,1,1,19,es,cocino/cocinar<vblex><pri><p1><sg>
1.0,0.004398148148148148,1,1,1,1,9,de,<*sf>/apotheke<n><f><*numb><*case>
1.0,0.9120138888888889,31,29,1,1,15,es,tengo/tener<vblex><pri><p1><sg>
1.0,4.1815625,41,32,1,1,0,en,fish/fish<n><sg>
1.0,0.010590277777777778,6,6,1,1,14,es,queso/queso<n><m><sg>
1.0,0.005729166666666666,4,4,1,1,8,en,salt/salt<n><sg>
0.75,3.5536689814814815,4,4,4,3,22,es,fruta/fruta<n><f><sg>
1.0,1.0273726851851852,1,1,1,1,23,es,flores/flor<n><f><pl>
1.0,9.91886574074074,12,11,1,1,12,en,that/that<det><dem><sg>
1.0,1.0453009259259258,9,8,1,1,10,de,rote/rot<adj><pst><f><sg><acc>
1.0,0.0115625,5,5,1,1,18,en,fruit/fruit<n><sg>
1.0,4.859328703703704,4,4,1,1,16,en,you/prpers<@ij:thank_you>
1.0,0.8202893518518518,10,8,2,2,14,es,ven/ver<vblex><pri><p3><pl>
1.0,0.05140046296296296,6,6,1,1,4,en,dogs/dog<n><pl>
1.0,123.3014236111111,79,77,2,2,0,de,äpfel/apfel<n><m><pl><acc>
1.0,0.05592592592592593,3,3,3,3,16,de,nicht/nicht<adv>
1.0,3.0982523148148147,18,16,1,1,20,en,are/be<vbser><pres>
1.0,26.078773148148148,21,15,1,1,12,en,wednesday/wednesday<n><sg>
1.0,0.0036574074074074074,40,36,2,2,5,en,drink/drink<vblex><pres>
1.0,0.0065625,15,14,1,1,17,en,drink/drink<vblex><pres>
1.0,0.011168981481481481,5,5,2,2,15,de,perfekt/perfekt<adj><pst><pred>
1.0,0.006481481481481481,20,19,2,2,16,en,had/have<vblex><pp><@cond_perfect>
1.0,0.003599537037037037,21,20,1,1,1,pt,como/comer<vblex><pri><p1><sg>
1.0,0.007511574074074074,4,4,1,1,23,de,vertreter/vertreter<n><m><sg><nom>
1.0,15.92170138888889,3,3,1,1,13,en,selection/selection<n><sg>
1.0,38.78636574074074,9,6,1,1,16,de,haben/haben<vbhaver><pri><p3><pl>
1.0,0.7341203703703704,14,11,1,1,10,en,dogs/dog<n><pl>
1.0,0.016631944444444446,5,5,4,4,17,es,ustedes/prpers<prn><tn><p3><mf><pl>
1.0,4.029837962962963,4,4,1,1,20,es,jugo/jugo<n><m><sg>
0.0,1.1676273148148149,8,7,1,0,8,fr,des/de<pr>+le<det><def><mf><pl>
1.0,0.05686342592592593,10,10,5,5,2,fr,une/un<det><ind><f><sg>
1.0,0.3688078703703704,14,14,1,1,0,fr,<*sf>/savoir<vblex><pri><*pers><*numb>
1.0,0.004502314814814815,8,7,2,2,20,en,cheese/cheese<n><sg>
0.0,1.9064351851851853,4,4,1,0,20,fr,lettre/lettre<n><f><sg>
1.0,0.0038194444444444443,3,3,2,2,1,en,animal/animal<n><sg>
0.0,0.0010648148148148149,59,38,1,0,22,en,woman/woman<n><sg>
1.0,59.04039351851852,108,96,5,5,8,es,es/ser<vbser><pri><p3><sg>
0.666666666667,15.145810185185185,56,47,3,2,15,es,estábamos/estar<vblex><pii><p1><pl>
1.0,13.326342592592592,1,1,1,1,19,pt,<*sf>/castanho<adj><*gndr><*numb>
1.0,0.9695254629629629,1119,1011,3,3,23,en,a/a<det><ind><sg>
0.5,0.6430787037037037,19,16,2,1,7,es,come/comer<vblex><pri><p3><sg>
1.0,4.367835648148148,8,7,2,2,0,pt,e/e<cnjcoo>
1.0,5.759074074074074,9,9,2,2,0,es,hombres/hombre<n><m><pl>
1.0,0.009398148148148149,29,26,1,1,15,es,no/no<adv>
0.666666666667,1.8688541666666667,13,12,3,2,22,es,un/uno<det><ind><m><sg>
1.0,0.0042361111111111115,21,21,1,1,23,es,gato/gato<n><m><sg>
1.0,41.75972222222222,5,4,1,1,22,fr,derrière/derrière<pr>
1.0,1.4057060185185186,4,4,1,1,8,en,tail/tail<n><sg>
0.75,0.0026041666666666665,5,5,4,3,16,en,walk/walk<vblex><pres>
1.0,0.01056712962962963,8,6,2,2,18,en,men/man<n><pl>
1.0,7.008356481481481,6,5,3,3,16,fr,sont/être<vbser><pri><p3><pl>
1.0,3.9995949074074075,10,9,5,5,5,es,niño/niño<n><m><sg>
1.0,1.4782870370370371,46,38,1,1,21,en,elephant/elephant<n><sg>
1.0,1.4978703703703704,4,4,2,2,19,fr,vers/vers<pr>
1.0,0.9668518518518519,14,10,2,2,21,en,see/see<vblex><inf>
0.0,25.845289351851854,3,3,1,0,17,de,teller/teller<n><m><sg><acc>
1.0,0.0030324074074074073,64,61,1,1,23,fr,l'/le<det><def><mf><sg>
1.0,11.098252314814815,10,10,1,1,0,en,that/that<det><dem><sg>
1.0,13.000069444444444,64,57,2,2,3,es,son/ser<vbser><pri><p3><pl>
1.0,0.0019212962962962964,196,186,2,2,21,en,are/be<vbser><pres>
1.0,1.1090046296296296,8,6,2,2,22,es,perro/perro<n><m><sg>
1.0,2.7685185185185186,33,32,1,1,3,de,äpfel/apfel<n><m><pl><acc>
0.5,7.009942129629629,3,3,2,1,14,es,hace/hacer<vblex><pri><p3><sg>
0.0,0.024085648148148148,20,20,1,0,23,en,or/or<cnjcoo>
1.0,0.002662037037037037,3,2,2,2,0,fr,manges/manger<vblex><pri><p2><sg>
1.0,2.6630439814814815,33,31,1,1,10,en,they/prpers<prn><subj><p3><mf><pl>
1.0,0.08774305555555556,13,11,1,1,17,es,araña/araña<n><f><sg>
1.0,0.006921296296296296,32,31,2,2,16,en,not/not<adv>
1.0,0.002638888888888889,6,5,1,1,2,en,oil/oil<n><sg>
1.0,0.0018287037037037037,9,7,5,5,17,es,yo/prpers<prn><tn><p1><mf><sg>
1.0,0.0027199074074074074,5,5,2,2,3,en,you/prpers<@ij:thank_you>
0.75,0.011342592592592593,24,20,4,3,5,es,bebes/beber<vblex><pri><p2><sg>
1.0,0.025787037037037035,6,6,3,3,16,en,has/have<vblex><pri><p3><sg>
1.0,12.020925925925926,7,6,1,1,2,es,hermana/hermano<n><f><sg>
1.0,179.25350694444444,3,3,3,3,0,en,coat/coat<n><sg>
1.0,4.880243055555556,3,3,4,4,21,es,corres/correr<vblex><pri><p2><sg>
1.0,0.002928240740740741,5,4,2,2,16,en,crab/crab<n><sg>
1.0,3.209247685185185,2,2,2,2,3,it,verdura/verdura<n><f><sg>
1.0,0.00431712962962963,1,1,3,3,16,en,find/find<vblex><pres>
1.0,11.078495370370371,6,6,3,3,21,en,pasta/pasta<n><sg>
1.0,2.736458333333333,6,6,1,1,16,de,danke/danken<vblex><pri><p1><sg>
1.0,2.0893402777777776,3,3,4,4,22,en,you/prpers<prn><subj><p2><mf><sp>
1.0,0.11953703703703704,98,86,1,1,19,fr,adieu/adieu<n><m><sg>
1.0,17.526215277777776,5,4,1,1,3,en,walk/walk<vblex><inf><@future>
1.0,0.0034375,19,17,3,3,0,en,wine/wine<n><sg>
1.0,0.003923611111111111,27,26,3,3,22,en,women/woman<n><pl>
1.0,44.46572916666667,5,5,2,2,13,es,mis/mío<det><pos><mf><pl>
1.0,1.7881597222222223,3,2,2,2,16,es,anoche/anoche<adv>
1.0,0.005717592592592593,22,20,1,1,20,en,my/my<det><pos><sp>
1.0,163.26065972222221,8,7,1,1,4,en,shoe/shoe<n><sg>
1.0,3.9658449074074076,2,2,1,1,16,es,pronto/pronto<adv>
1.0,10.921828703703703,2,2,3,3,0,it,sue/sue<prn><pos><f><pl>
1.0,36.67737268518518,2,2,1,1,12,en,artists/artist<n><pl>
0.5,0.18171296296296297,57,54,2,1,15,en,woman/woman<n><sg>
0.0,0.065625,3,3,1,0,0,es,menú/menú<n><m><sg>
1.0,7.010104166666666,6,6,1,1,16,es,no/no<adv>
1.0,0.4382986111111111,8,8,3,3,14,en,him/prpers<prn><obj><p3><m><sg>
1.0,2.0061805555555554,3,3,1,1,0,en,boy/boy<n><sg>
1.0,0.001736111111111111,4,4,1,1,6,fr,mots/mot<n><m><pl>
1.0,34.14194444444445,13,12,2,2,0,es,cuándo/cuándo<adv><itg>
1.0,0.004108796296296296,2,2,1,1,1,en,plates/plate<n><pl>
0.5,7.748136574074074,4,3,2,1,16,en,reply/reply<n><sg>
0.8,0.0029861111111111113,4,4,5,4,2,fr,un/un<det><ind><m><sg>
1.0,4.945636574074074,4,4,1,1,13,en,turtles/turtle<n><pl>
1.0,0.0020601851851851853,6,5,4,4,15,es,son/ser<vbser><pri><p3><pl>
1.0,1.6993402777777777,3,3,1,1,18,en,love/love<vblex><pres>
1.0,0.0022453703703703702,5,5,1,1,14,en,hello/hello<ij>
1.0,4.525127314814815,6,6,1,1,15,en,i/prpers<prn><subj><p1><mf><sg>
1.0,23.17329861111111,3,2,1,1,19,es,oyes/oír<vblex><pri><p2><sg>
1.0,13.143078703703704,17,16,1,1,23,en,fashion/fashion<n><sg>
0.666666666667,233.40364583333334,129,125,6,4,16,en,eats/eat<vblex><pri><p3><sg>
0.0,0.0006712962962962962,26,22,1,0,17,es,padre/padre<n><m><sg>
1.0,2.1780324074074073,17,14,1,1,2,de,lehrer/lehrer<n><m><sg><dat>
1.0,14.782465277777778,3,2,3,3,9,es,el/el<det><def><m><sg>
1.0,8.977534722222222,59,56,1,1,18,es,come/comer<vblex><pri><p3><sg>
1.0,0.003958333333333334,9,6,2,2,10,it,che/che<cnjsub>
1.0,0.2737847222222222,1,1,1,1,3,it,<*sf>/vedere<vblex><pri><*pers><*numb>
1.0,0.004224537037037037,5,5,1,1,21,es,zapato/zapato<n><m><sg>
1.0,0.5529166666666666,6,6,2,2,11,en,colors/color<n><pl>
1.0,0.14065972222222223,17,15,1,1,22,en,gray/gray<adj><sint>
1.0,85.08546296296296,8,6,1,1,15,fr,mon/mon<det><pos><m><sg>
0.666666666667,5.006469907407407,4,4,3,2,18,fr,d'accord/d'accord<adv>
0.0,6.103599537037037,5,5,1,0,3,en,twice/twice<adv>
1.0,0.4862037037037037,2,2,1,1,21,fr,sa/son<det><pos><f><sg>
0.0,15.992650462962963,3,3,1,0,2,en,men/man<n><pl>
1.0,0.017152777777777777,51,46,1,1,14,en,drink/drink<vblex><pres>
0.5,19.88832175925926,2,2,2,1,14,pt,gatos/gato<n><m><pl>
1.0,0.0013425925925925925,85,72,1,1,10,es,no/no<adv>
1.0,0.04729166666666667,12,11,2,2,22,fr,vin/vin<n><m><sg>
1.0,5.819386574074074,15,13,2,2,15,en,cat/cat<n><sg>
1.0,50.40392361111111,2,2,1,1,2,es,camisa/camisa<n><f><sg>
1.0,8.250601851851853,12,10,3,3,22,de,dritten/dritt<adj><ord><nt><sg><dat><mix>
1.0,5.053252314814815,11,11,1,1,19,en,the/the<det><def><sp>
1.0,3.072662037037037,29,26,1,1,4,de,das/das<det><def><nt><sg><nom>
1.0,39.028252314814814,9,8,2,2,20,de,mag/mögen<vbmod><pri><p1><sg>
1.0,0.04113425925925926,27,24,1,1,1,es,padre/padre<n><m><sg>
1.0,0.15641203703703704,6,5,1,1,17,es,naranja/naranja<n><f><sg>
1.0,5.944016203703704,3,3,1,1,18,en,dogs/dog<n><pl>
0.75,6.8906481481481485,5,4,4,3,22,de,rote/rot<adj><pst><mf><pl><acc><st>
1.0,0.005150462962962963,13,10,1,1,21,es,de/de<pr>
1.0,0.0678125,519,477,1,1,3,en,we/prpers<prn><subj><p1><mf><pl>
1.0,0.002627314814814815,46,45,2,2,13,it,<*sf>/donna<n><f><*numb>
1.0,0.006076388888888889,25,22,1,1,5,en,dog/dog<n><sg>
0.5,0.9610416666666667,8,7,2,1,11,es,hijo/hijo<n><m><sg>
1.0,0.0015625,12,12,2,2,0,en,hats/hat<n><pl>
1.0,14.93042824074074,9,7,1,1,18,de,trinkt/trinken<vblex><pri><p3><sg>
0.666666666667,0.0018171296296296297,2368,1456,3,2,10,en,to/to<pr>
1.0,1.1672453703703705,2,1,1,1,5,it,formica/formica<n><f><sg>
1.0,0.029872685185185186,4,3,1,1,22,it,venerdì/venerdì<n><m><sp>
1.0,0.006273148148148148,4,4,1,1,14,en,military/military<adj>
1.0,0.005613425925925926,5,5,1,1,11,en,dresses/dress<n><pl>
1.0,1.029085648148148,3,3,2,2,22,de,restaurant/restaurant<n><nt><sg><nom>
1.0,0.005115740740740741,15,9,1,1,15,en,such/such<det><ind><sp>
1.0,0.2097800925925926,7,6,1,1,6,en,at/at<pr>
1.0,0.01611111111111111,5,4,1,1,1,es,eres/ser<vbser><pri><p2><sg>
1.0,0.01099537037037037,54,50,1,1,16,en,bit/bit<n><sg>
1.0,1.480150462962963,3,3,1,1,20,es,verdes/verde<adj><mf><pl>
1.0,0.007696759259259259,2,1,1,1,21,es,cerca/cerca<pr>
1.0,6.133275462962963,138,126,1,1,20,en,food/food<n><sg>
1.0,0.05108796296296296,19,13,1,1,3,es,pato/pato<n><m><sg>
1.0,0.0040625,6,5,1,1,6,es,cangrejo/cangrejo<n><m><sg>
1.0,10.933275462962962,7,6,8,8,11,en,while/while<cnjadv>
1.0,7.894375,24,24,1,1,19,en,it/prpers<prn><subj><p3><nt><sg>
1.0,4.498020833333333,5,4,2,2,5,es,oficio/oficio<n><m><sg>
1.0,0.002372685185185185,9,9,1,1,21,en,bread/bread<n><sg>
1.0,2.994826388888889,3,2,4,4,5,pt,bebo/beber<vblex><pri><p1><sg>
1.0,0.0017592592592592592,13,12,1,1,2,es,quiere/querer<vblex><pri><p3><sg>
1.0,1.9395833333333334,4,3,2,2,6,es,abrigo/abrigo<n><m><sg>
1.0,0.07502314814814814,2,2,1,1,13,es,<*sf>/plato<n><m><*numb>
1.0,0.0025694444444444445,41,39,1,1,18,en,rice/rice<n><sg>
0.666666666667,3.1100462962962965,53,50,3,2,21,en,eat/eat<vblex><pres>
1.0,20.17042824074074,4,4,2,2,23,en,my/my<det><pos><sp>
1.0,0.3678356481481482,2,1,1,1,19,es,plazo/plazo<n><m><sg>
0.5,3.7036689814814814,47,46,2,1,9,fr,fille/fille<n><f><sg>
1.0,154.96074074074073,2,1,1,1,18,es,naturaleza/naturaleza<n><f><sg>
1.0,0.009375,30,28,3,3,4,en,eat/eat<vblex><pres>
1.0,0.0023148148148148147,15,15,2,2,23,es,cebolla/cebolla<n><f><sg>
